rating,rating_count,cost,name_encoded
3.7,10,300,37610
3.7,10,100,102268
4.2,20,300,40165
3.7,100,200,66783
4.4,20,59,70885
4.0,20,200,63071
3.7,10,250,29851
4.3,100,200,31621
3.7,10,300,40437
3.7,10,199,41042
4.1,100,350,93105
3.7,10,250,25717
3.7,10,300,59671
3.7,10,200,106714
3.7,10,300,56850
3.7,10,150,111538
3.7,10,300,37048
4.3,50,299,11063
3.7,10,200,10050
4.6,100,500,12022
3.8,100,200,99553
3.7,10,300,101827
3.7,10,400,24186
3.7,10,299,49551
3.7,10,250,64977
3.5,100,200,4381
3.3,20,200,12412
3.7,10,200,14841
4.0,100,400,69941
3.7,10,249,25751
3.7,10,199,70791
3.9,100,200,6141
2.4,20,200,19173
3.7,10,300,99876
4.1,100,450,49116
3.7,10,200,19299
3.7,10,400,100501
3.7,10,300,21686
3.7,10,250,50321
3.7,10,500,91656
3.7,20,200,41366
4.1,100,300,50795
4.0,20,150,99644
4.3,20,450,94203
3.7,10,400,47732
3.7,10,200,104544
4.1,100,250,99401
3.9,50,300,4375
3.7,10,500,56880
4.0,20,400,100878
3.7,10,250,100746
2.9,100,200,12403
3.7,10,300,31897
2.6,20,300,66760
3.9,20,200,75628
3.5,50,300,23059
3.4,50,600,61565
3.7,10,1000,32526
3.9,20,300,13110
3.7,10,400,776
3.7,10,300,22805
3.7,10,350,96968
3.7,10,200,90364
3.7,10,350,29153
3.7,10,200,62930
4.0,100,400,4057
4.1,50,200,55908
4.0,20,400,32145
3.7,10,150,108087
3.7,10,150,11521
3.7,10,500,3950
3.7,10,500,25511
4.4,100,300,53458
3.4,20,300,8200
3.7,10,110,49406
3.5,50,400,60469
3.5,20,200,79625
3.7,10,200,15842
2.6,20,250,96118
3.7,10,200,77260
3.9,20,300,36212
3.7,10,550,91714
3.7,10,500,91642
3.7,10,300,30605
3.7,10,1000,36588
3.7,10,300,101244
3.7,10,350,31622
3.7,10,400,101154
3.7,10,1200,16319
2.2,20,1200,16377
3.7,10,1200,19377
3.7,10,1200,19485
3.7,10,300,12406
3.7,10,300,102295
3.7,10,200,47095
3.7,10,200,45273
3.7,50,200,33038
3.7,10,300,91806
3.7,100,400,73288
3.7,10,300,60652
3.7,10,200,47141
3.7,10,400,88241
3.7,10,800,102689
3.7,10,200,96650
3.7,10,250,44272
3.7,10,100,47277
3.2,50,200,37595
3.7,10,249,32224
3.7,10,150,89732
3.7,10,300,85103
3.7,10,300,21614
3.3,20,250,64136
3.7,10,150,55380
3.7,10,600,21890
3.7,10,300,12407
3.7,10,300,102178
3.7,50,150,89478
3.3,100,200,112350
3.7,10,150,9961
3.7,10,300,101876
3.7,10,350,1754
3.7,10,50,85640
3.7,10,50,20507
3.7,10,250,36595
3.7,10,300,40997
3.7,10,300,2600
3.7,10,400,66467
3.7,10,210,59335
3.7,10,30,111892
3.7,10,250,105646
3.8,100,300,27816
3.7,10,600,110605
3.7,10,500,30671
3.7,10,200,3817
3.7,10,400,43590
3.7,10,300,23295
3.7,10,250,57088
3.7,10,300,85229
3.7,10,300,12405
3.7,10,200,43800
3.7,10,200,97286
3.7,10,300,103877
3.7,10,250,1827
3.8,20,200,20214
3.7,10,100,3372
3.7,10,300,98854
2.3,20,310,60040
3.7,10,100,44946
3.7,10,100,47086
3.4,100,200,88477
3.7,10,150,72467
3.7,10,300,41618
4.2,50,200,37105
3.4,500,250,69430
3.7,10,200,26214
3.7,10,300,26215
3.7,10,200,62961
3.7,10,300,106622
3.7,10,300,108682
3.7,10,300,21505
3.7,10,300,110659
3.7,10,300,15529
3.7,10,300,109807
3.7,20,250,101935
3.7,10,300,101956
